Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1872,13.0,8.9,294.4,735.3,879.1,2632.7,3277.9,1359.9,2577.8,348.5,9.4,0.0
1873,5.3,105.2,290.8,455.7,339.3,2256.0,1804.4,1338.8,551.9,24.6,0.0,16.0
1874,27.2,118.4,278.6,719.6,2449.3,1632.5,2923.5,1152.1,1218.2,204.0,9.4,0.0
1875,70.4,20.1,176.3,1380.5,578.6,3407.7,2237.5,2128.5,365.8,12.7,0.0,0.0
1876,0.0,41.4,446.3,810.5,1368.0,4693.9,2016.0,1651.5,493.5,400.3,0.0,0.0
1877,29.5,29.0,281.9,298.7,893.8,1158.0,2821.2,998.2,3049.3,123.7,2.5,27.2
1878,52.1,96.0,255.8,514.1,483.4,3454.7,3855.0,3012.7,1947.7,211.6,136.4,0.0
1879,0.0,19.8,9.7,275.8,2151.1,3423.9,2715.0,2290.1,1149.1,293.9,0.0,44.5
1880,51.6,115.6,1277.6,1424.4,626.9,3091.9,2419.9,3046.0,630.4,206.2,3.6,17.3
1881,0.0,14.5,159.8,695.2,1275.1,2815.1,1682.8,1994.7,1804.4,80.3,34.3,0.5
1882,0.3,117.6,396.0,574.0,952.8,2654.0,876.0,2347.5,1140.7,860.3,17.3,0.0
1883,32.5,0.0,112.5,365.5,1709.9,2155.2,1714.2,1676.1,1429.8,160.5,0.0,82.3
1884,5.1,76.7,394.5,501.1,1429.5,1163.3,2396.7,1119.4,289.6,662.7,48.3,0.0
1885,0.8,20.6,218.9,612.6,655.6,2159.8,2724.9,1415.5,3230.6,166.6,31.8,0.8
1886,0.0,45.5,209.8,1044.2,841.2,2385.3,2689.4,3001.8,1438.4,95.3,0.0,1.3
1887,108.7,0.0,528.6,711.7,1211.6,4882.6,966.0,1456.7,1237.2,85.1,0.0,0.0
1888,50.5,51.1,519.9,901.4,1770.9,2739.6,1833.6,1815.1,513.6,419.6,7.9,0.0
1889,30.2,46.0,20.3,844.6,1873.5,4254.2,3477.8,1593.3,1142.7,127.0,50.5,0.0
1890,28.4,9.1,219.7,974.9,747.8,5083.8,2977.1,3049.3,471.7,187.5,0.0,0.0
1891,0.0,63.5,118.1,486.2,1073.2,1950.7,1896.1,869.2,1004.8,108.7,119.6,0.0
1892,0.0,4.3,2180.3,1459.7,2474.7,2837.4,2285.5,986.3,401.8,12.2,0.0,
1893,32.5,68.6,90.2,1068.6,1057.9,2052.8,4772.9,2265.4,569.7,228.1,7.1,0.0
1894,0.0,59.9,154.4,704.6,1867.2,1663.2,1366.0,1749.6,766.1,1184.9,188.5,3.8
1895,5.3,0.0,138.7,680.5,1518.7,352.8,3646.4,1993.9,547.6,355.1,3.8,20.6
1896,35.6,26.2,224.3,1749.8,656.8,819.9,2237.7,950.5,1063.0,54.9,0.5,0.0
1897,0.0,17.8,273.1,201.7,2103.9,1734.8,2297.7,1604.3,3078.7,545.6,12.7,0.0
1898,17.8,14.5,7.6,989.6,1127.8,2297.7,1692.9,3012.9,1988.3,1074.4,0.0,4.1
1899,33.5,76.2,1080.8,2475.5,3843.3,1499.1,2554.0,2804.7,905.3,0.0,6.9,
1900,2.3,146.6,743.5,1656.6,1026.9,2591.6,3248.7,1013.0,594.1,289.8,0.0,0.0
1901,40.9,9.4,88.4,1136.9,662.9,2102.9,1830.3,1353.8,1120.9,816.4,304.5,0.0
1902,1.3,0.0,196.6,958.3,699.0,3467.4,3129.0,2142.0,1152.4,47.8,0.0,0.0
1903,0.3,27.9,307.6,659.4,541.8,2788.2,2392.4,2793.2,342.4,199.1,282.4,0.0
1904,1.0,119.1,117.9,2244.1,1075.4,1477.0,1801.9,1815.3,471.9,199.1,108.5,5.3
1905,2.5,16.5,173.0,349.3,1058.4,2229.6,2425.4,3392.2,1649.7,1273.8,5.8,29.0
1906,11.7,165.6,135.4,1162.1,590.8,1275.8,4278.1,3170.7,1134.4,372.4,80.5,0.0
1907,39.9,146.3,231.1,692.9,399.5,2315.2,3108.5,1325.4,758.7,150.1,0.3,13.0
1908,10.2,15.2,8.9,370.8,881.4,1668.5,1663.7,898.1,1453.1,207.3,0.5,0.3
1909,8.1,27.9,5.8,567.4,1384.0,2571.8,1295.7,1767.6,418.1,444.0,27.7,10.7
1910,2.5,58.4,776.2,696.7,607.6,2949.2,3985.0,2138.7,629.4,425.2,91.4,0.0
1911,79.2,38.1,133.9,1104.9,1974.6,3536.7,2833.9,1968.5,1247.4,1313.7,0.0,0.0
1912,7.6,119.9,480.3,729.5,273.8,2291.1,2217.4,1754.1,784.1,938.0,213.1,42.9
1913,6.1,122.9,307.1,1322.1,1184.7,2358.1,1879.3,1543.6,1017.3,862.1,7.9,30.5
1914,0.0,98.0,161.0,319.8,1130.8,2652.5,1586.5,2484.9,629.4,118.9,0.0,17.8
1915,10.7,90.7,172.0,244.3,3258.1,1881.4,3744.7,2344.7,737.1,373.1,18.0,0.0
